OBJECTID,GEOID,STATE,COUNTY,TRACT,LOWMOD,LOWMODUNIV,LOWMODPCT,UCLMOD,UCLMODU,UCLMODPCT,Shape__Area,Shape__Length
13304,48439103601,48,439,103601,2150.0,2355.0,91.3,,,,0.00019653902973,0.0594116975644521
13305,48439103602,48,439,103602,1265.0,2355.0,53.72,,,,0.0001385513114655,0.0470910851504721
13324,48439111013,48,439,111013,3125.0,7590.0,41.17,,,,0.0012814163337679,0.144188362337242
13325,48439105703,48,439,105703,1855.0,3350.0,55.37,,,,0.0001701963542473,0.0655332253107366
13326,48439113816,48,439,113816,390.0,4770.0,8.18,,,,0.000546343116639,0.130043875862403
13327,48439121605,48,439,121605,725.0,2720.0,26.65,,,,0.0002605592944746,0.0808395117022068
13345,48439113812,48,439,113812,640.0,5470.0,11.7,,,,0.000427181988698,0.0946784953074455
13346,48439113813,48,439,113813,355.0,5085.0,6.98,,,,0.0003867517716571,0.0839551542624014
13347,48439101302,48,439,101302,2360.0,3145.0,75.04,,,,0.0004782193411756,0.133210401344307
13348,48439113514,48,439,113514,3430.0,5210.0,65.83,,,,0.0002111799583417,0.0683124688990457
13349,48439113516,48,439,113516,1120.0,4410.0,25.4,,,,0.0002630454246173,0.0685740525377365
13350,48439113607,48,439,113607,2150.0,4575.0,46.99,,,,0.0001941350624292,0.0658895391831792
13351,48439113610,48,439,113610,475.0,10495.0,4.53,,,,0.0018129996776679,0.20305839599565
13356,48439102700,48,439,102700,855.0,3260.0,26.23,,,,0.0001680222292179,0.0687005264217557
13357,48439102800,48,439,102800,270.0,1435.0,18.82,,,,0.0001699784659194,0.0757516714408389
13359,48439113811,48,439,113811,1350.0,3960.0,34.09,,,,0.0003038867118903,0.0879277992420671
13375,48439113611,48,439,113611,605.0,4405.0,13.73,,,,0.00030238366935,0.0874581504916743
13376,48439110901,48,439,110901,630.0,4050.0,15.56,,,,0.000621115615786,0.121283819888543
13377,48439113618,48,439,113618,1495.0,6225.0,24.02,,,,0.0003174415528519,0.072160298782629
13383,48439104804,48,439,104804,2420.0,3165.0,76.46,,,,0.0002044909681444,0.0662356683449197
13384,48439110600,48,439,110600,1280.0,2480.0,51.61,,,,0.00051339136985,0.118612373442148
13385,48439100101,48,439,100101,3065.0,5480.0,55.93,,,,0.0002340284715955,0.0641012427810819
13386,48439100102,48,439,100102,2915.0,4600.0,63.37,,,,0.0002735802352162,0.0751338015794105
13387,48439100201,48,439,100201,3680.0,5160.0,71.32,,,,0.0002008834153457,0.0602300483774181
13388,48439104503,48,439,104503,1630.0,2350.0,69.36,,,,0.000161013223078,0.0512131955953919
13418,48439113709,48,439,113709,635.0,4705.0,13.5,,,,0.0004763831436775,0.0942449673131328
13419,48439113927,48,439,113927,1305.0,8550.0,15.26,,,,0.0018551484090494,0.231929465697695
13439,48439101401,48,439,101401,1935.0,4460.0,43.39,,,,0.0003758955613193,0.0829123170922898
13441,48439104400,48,439,104400,3550.0,5710.0,62.17,,,,0.0002387662798355,0.0660021749578672
13442,48439110704,48,439,110704,2025.0,3690.0,54.88,,,,0.0004937072321808,0.11839087671326
13443,48439110703,48,439,110703,2010.0,3995.0,50.31,,,,0.00031682193503,0.0820860642871143
13470,48439113619,48,439,113619,2550.0,4585.0,55.62,,,,0.0001577929899667,0.0569603267999679
13474,48439111407,48,439,111407,460.0,3200.0,14.38,,,,0.0005162575312169,0.146928394403717
13496,48439105902,48,439,105902,3260.0,3850.0,84.68,,,,0.0005674867722973,0.0993071824159652
13497,48439110906,48,439,110906,1050.0,4365.0,24.05,,,,0.0018339895079861,0.224167774559481
13521,48439113710,48,439,113710,1385.0,4040.0,34.28,,,,0.0002100668261846,0.0743911624443117
13522,48439113711,48,439,113711,725.0,3820.0,18.98,,,,0.0001758408523073,0.0697019360176025
13523,48439102100,48,439,102100,2165.0,5320.0,40.7,,,,0.0003543207401435,0.0932765891179685
13524,48439121702,48,439,121702,1015.0,1880.0,53.99,,,,0.0006702570356083,0.10974194820811
13525,48439121703,48,439,121703,3970.0,5350.0,74.21,,,,0.0001806848672458,0.070232520008166
13526,48439100501,48,439,100501,5815.0,8330.0,69.81,,,,0.0006495488153177,0.133948895035057
13539,48439111308,48,439,111308,590.0,1510.0,39.07,,,,0.0002651415782111,0.074522782098088
13547,48439113622,48,439,113622,330.0,5720.0,5.77,,,,0.0008747111107823,0.15240577806456
13548,48439113623,48,439,113623,715.0,3835.0,18.64,,,,0.0002257884791561,0.0782894233637789
13549,48439113803,48,439,113803,1170.0,5450.0,21.47,,,,0.0002430309953069,0.0719149246563103
13569,48439111005,48,439,111005,3815.0,8410.0,45.36,,,,0.0007175521218414,0.121738658948942
13593,48439110809,48,439,110809,225.0,1745.0,12.89,,,,0.0002748693134435,0.0732318186642569
13594,48439111203,48,439,111203,1545.0,4330.0,35.68,,,,0.0016340428808234,0.205965395623651
13655,48439111529,48,439,111529,740.0,4090.0,18.09,,,,0.0002055129205018,0.0662724133045452
13656,48439113919,48,439,113919,635.0,7840.0,8.1,,,,0.0003166269350458,0.0825469340818329
13657,48439113511,48,439,113511,995.0,3755.0,26.5,,,,0.0003666738023184,0.114463945695587
13668,48439111549,48,439,111549,400.0,4640.0,8.62,,,,0.0006901250576447,0.177025524930885
13669,48439111003,48,439,111003,710.0,2730.0,26.01,,,,0.0003250157428738,0.0799485840636917
13670,48439105800,48,439,105800,3025.0,4520.0,66.92,,,,0.0001601296971784,0.0603863121896378
13671,48439111404,48,439,111404,3245.0,7910.0,41.02,,,,0.0008302611286126,0.176300057636932
13672,48439113513,48,439,113513,1845.0,5300.0,34.81,,,,0.0002454194429901,0.0759265105943987
13692,48439121903,48,439,121903,4570.0,5850.0,78.12,,,,0.0002697895483834,0.0718480805108684
13693,48439101301,48,439,101301,1555.0,4795.0,32.43,,,,0.0003181550375757,0.0889615406737574
13694,48439122002,48,439,122002,2275.0,3695.0,61.57,,,,0.0001297116295972,0.0577508144084345
13695,48439122001,48,439,122001,2535.0,3685.0,68.79,,,,0.0001246480430836,0.0507598195618047
13696,48439103500,48,439,103500,4030.0,5135.0,78.48,,,,0.0003716724436344,0.103920965738266
13699,48439113626,48,439,113626,515.0,4065.0,12.67,,,,0.0002156877212655,0.0741809038231262
13700,48439113627,48,439,113627,2215.0,5120.0,43.26,,,,0.0002333257082227,0.0811410311515531
13702,48439110807,48,439,110807,1710.0,5855.0,29.21,,,,0.0019154250985593,0.22508011363691
13703,48439113002,48,439,113002,3365.0,5910.0,56.94,,,,0.0010595775638648,0.195485461427671
13704,48439102602,48,439,102602,2455.0,3665.0,66.98,,,,0.0002698791599868,0.125055608861439
13706,48439113921,48,439,113921,2680.0,16235.0,16.51,,,,0.0013533021087823,0.154596967966168
13707,48439123300,48,439,123300,1015.0,2425.0,41.86,,,,0.0004436195779362,0.112950459398797
13708,48439100800,48,439,100800,3925.0,5790.0,67.79,,,,0.0003433478977967,0.0842153813826233
13709,48439111102,48,439,111102,3005.0,5550.0,54.14,,,,0.0005671411029197,0.132281583491835
13731,48439105205,48,439,105205,3745.0,4945.0,75.73,,,,0.0001124177654219,0.0549247469077877
13732,48439105204,48,439,105204,1975.0,3055.0,64.65,,,,8.87362261892122e-05,0.0445002841408307
13733,48439113922,48,439,113922,2470.0,16085.0,15.36,,,,0.0013948068483387,0.166702523213177
13735,48439113116,48,439,113116,2390.0,4110.0,58.15,,,,8.36900999274803e-05,0.0462203261579502
13736,48439113115,48,439,113115,1460.0,3085.0,47.33,,,,0.0001046938198214,0.0487983145555172
13737,48439113911,48,439,113911,2115.0,6335.0,33.39,,,,0.0007086137436544,0.126793040353479
13738,48439110401,48,439,110401,2175.0,4250.0,51.18,,,,0.0005485525712174,0.160104770656558
13739,48439110402,48,439,110402,3170.0,4580.0,69.21,,,,0.0003098909162417,0.0823861622997505
13740,48439110500,48,439,110500,3830.0,7505.0,51.03,,,,0.0005117042474012,0.133371758104691
13741,48439113404,48,439,113404,1580.0,5005.0,31.57,,,,0.0003281920055542,0.0805301268930927
13746,48439104802,48,439,104802,3900.0,5085.0,76.7,,,,0.0002335770902845,0.0788647379271995
13747,48439105701,48,439,105701,1570.0,3250.0,48.31,,,,0.0002033292446412,0.0680289654445395
13758,48439105007,48,439,105007,1155.0,4240.0,27.24,,,,0.0004956814682373,0.0974112763402674
13759,48439110302,48,439,110302,3765.0,5240.0,71.85,,,,0.0002825356345965,0.0726535812041544
13762,48439113908,48,439,113908,295.0,5455.0,5.41,,,,0.0005993901422698,0.123444853514144
13766,48439104300,48,439,104300,2665.0,5175.0,51.5,,,,0.0002802555277412,0.0904851701350682
13767,48439105203,48,439,105203,750.0,2205.0,34.01,,,,0.0001549206401705,0.058203614814673
13768,48439113918,48,439,113918,1370.0,5300.0,25.85,,,,0.0001571842278735,0.0573112176208183
13769,48439104701,48,439,104701,3150.0,4220.0,74.64,,,,0.0001202835196636,0.0451733741167757
13770,48439113633,48,439,113633,805.0,4525.0,17.79,,,,0.0002897923811815,0.07353829562409
13771,48439121601,48,439,121601,2975.0,6890.0,43.18,,,,0.0006078918709135,0.116765852812277
13772,48439104702,48,439,104702,2740.0,3320.0,82.53,,,,0.0003267903089181,0.0858993022385019
13773,48439104803,48,439,104803,5400.0,6880.0,78.49,,,,0.000181439392918,0.0796942636707867
13792,48439104602,48,439,104602,3025.0,4475.0,67.6,,,,0.0002259928721741,0.0646907237682108
13793,48439104603,48,439,104603,2630.0,3420.0,76.9,,,,0.0002389207697888,0.0640932393356955
13794,48439104605,48,439,104605,2335.0,4070.0,57.37,,,,0.0004380589325592,0.103051967948103
13795,48439106001,48,439,106001,2710.0,7020.0,38.6,,,,0.0004956305490395,0.113809324995873
13798,48439111304,48,439,111304,695.0,6645.0,10.46,,,,0.0004362780796327,0.0912696769463423
13799,48439111104,48,439,111104,1165.0,2520.0,46.23,,,,0.0002594456950646,0.107624777751209
13800,48439110202,48,439,110202,2005.0,3800.0,52.76,,,,0.0002555427770403,0.0642887136495319
13807,48439113206,48,439,113206,2560.0,5560.0,46.04,,,,0.0003687129972149,0.111013777301141
13808,48439113207,48,439,113207,690.0,4290.0,16.08,,,,0.0002729014108808,0.078962115965037
13809,48439113210,48,439,113210,1080.0,6685.0,16.16,,,,0.0005485503813815,0.116138982486967
13810,48439113212,48,439,113212,730.0,4265.0,17.12,,,,0.0003177173175572,0.0974764738164755
13811,48439100400,48,439,100400,5210.0,8365.0,62.28,,,,0.0002340536050269,0.0735671817017471
13816,48439111506,48,439,111506,2420.0,6115.0,39.57,,,,0.0004171551906893,0.109919988889611
13817,48439111017,48,439,111017,1010.0,9970.0,10.13,,,,0.0014315828982489,0.172444199975975
13818,48439114007,48,439,114007,2490.0,10950.0,22.74,,,,0.0014226023747596,0.174672209380454
13821,48439113112,48,439,113112,1585.0,3050.0,51.97,,,,0.0001469272121994,0.0538197734717959
13823,48439105201,48,439,105201,3590.0,5460.0,65.75,,,,0.0002198837494233,0.059279540120542
13825,48439113631,48,439,113631,2870.0,6775.0,42.36,,,,0.0002801228711177,0.086978906209123
13826,48439113814,48,439,113814,370.0,3865.0,9.57,,,,0.0003646079690042,0.108318240973526
13827,48439113113,48,439,113113,1470.0,4020.0,36.57,,,,0.0001710615965748,0.0717692673364899
13828,48439111301,48,439,111301,2385.0,8815.0,27.06,,,,0.004161196308587,0.349326958499032
13829,48439100202,48,439,100202,3885.0,5170.0,75.15,,,,0.0005597703668627,0.129377987699352
13830,48439100300,48,439,100300,3445.0,4690.0,73.45,,,,0.0008575961544465,0.141650406927815
13831,48439110701,48,439,110701,3495.0,6950.0,50.29,,,,0.0004842520397687,0.129725837107612
13838,48439113907,48,439,113907,350.0,5670.0,6.17,,,,0.002036549988361,0.239228454842901
13847,48439110808,48,439,110808,250.0,1485.0,16.84,,,,0.005228398857298,0.366035501174009
13848,48439104202,48,439,104202,1320.0,3155.0,41.84,,,,0.0002067136456389,0.0624723364336629
13849,48439104100,48,439,104100,1820.0,3745.0,48.6,,,,0.0001250199170499,0.0469155425527939
13850,48439100502,48,439,100502,4735.0,6965.0,67.98,,,,0.0003721064153978,0.105267267051533
13851,48439100601,48,439,100601,885.0,2110.0,41.94,,,,0.0030057308874802,0.435080271671461
13867,48439105406,48,439,105406,1350.0,5175.0,26.09,,,,0.0002490554425094,0.0896764924489003
13868,48439105404,48,439,105404,455.0,3790.0,12.01,,,,0.0003182482794272,0.0742204006785676
13869,48439102402,48,439,102402,1465.0,4510.0,32.48,,,,0.0003548506156221,0.0791150256250593
13870,48439100602,48,439,100602,965.0,2125.0,45.41,,,,0.0015582066994284,0.213377188264737
13883,48439102000,48,439,102000,565.0,905.0,62.43,,,,0.0005017051098548,0.105372033655928
13916,48439100900,48,439,100900,1670.0,2100.0,79.52,,,,0.0001511339264652,0.0601093900212056
13917,48439101201,48,439,101201,785.0,1720.0,45.64,,,,0.0017336325922769,0.237701709960843
13924,48439101402,48,439,101402,2470.0,3145.0,78.54,,,,0.0002051768287856,0.062736056553182
13929,48439104502,48,439,104502,2655.0,3330.0,79.73,,,,0.0001778630075932,0.0616217993761196
13930,48439105503,48,439,105503,1615.0,4765.0,33.89,,,,0.0003497500022149,0.0829327611174395
13931,48439111313,48,439,111313,340.0,4310.0,7.89,,,,0.0015719548187007,0.273772167840082
13932,48439111008,48,439,111008,1565.0,6050.0,25.87,,,,0.0014514114252506,0.197156381046858
13933,48439122500,48,439,122500,1270.0,4140.0,30.68,,,,0.0002323955573046,0.0626962966467603
13934,48439122600,48,439,122600,1450.0,3715.0,39.03,,,,0.0002368639950418,0.063647899019234
13935,48439113220,48,439,113220,2995.0,5180.0,57.82,,,,0.0002796438484438,0.0833620861162534
13936,48439101202,48,439,101202,3035.0,4190.0,72.43,,,,0.0005290400833928,0.112838089062128
13938,48439121606,48,439,121606,505.0,3340.0,15.12,,,,0.0007327162870751,0.125049620258011
13950,48439113923,48,439,113923,365.0,2355.0,15.5,,,,0.0003747065215975,0.0970529136648679
13951,48439113925,48,439,113925,575.0,4125.0,13.94,,,,0.000137792894975,0.0575623437828134
13953,48439110806,48,439,110806,315.0,3935.0,8.01,,,,0.0011838610646464,0.154213187819666
13956,48439111547,48,439,111547,5555.0,14590.0,38.07,,,,0.00099808099867,0.14647901328952
13957,48439111310,48,439,111310,1685.0,6460.0,26.08,,,,0.0005978353428872,0.112246687329377
13958,48439122200,48,439,122200,1270.0,1755.0,72.36,,,,0.0001411925206866,0.0688611515379577
13959,48439122300,48,439,122300,2745.0,3400.0,80.74,,,,0.0002256963764466,0.0719768160212078
13960,48439122400,48,439,122400,3680.0,5625.0,65.42,,,,0.0003209178989891,0.0995976310482429
13961,48439122700,48,439,122700,2645.0,5110.0,51.76,,,,0.0002493360796052,0.06210016615087
13962,48439122900,48,439,122900,5965.0,7605.0,78.44,,,,0.0002546759947108,0.0639658307679775
13963,48439113707,48,439,113707,380.0,4845.0,7.84,,,,0.000702607574567,0.143670527324554
13964,48439111545,48,439,111545,425.0,2410.0,17.63,,,,0.0005091081932278,0.112030449217413
13965,48439111513,48,439,111513,895.0,4055.0,22.07,,,,0.0004463632942588,0.0902307952554602
13966,48439111536,48,439,111536,1855.0,3705.0,50.07,,,,0.0003871715255172,0.082261052473013
13967,48439111537,48,439,111537,2800.0,7320.0,38.25,,,,0.0003886317526848,0.0820001631237082
13991,48439123400,48,439,123400,1380.0,1725.0,80.0,,,,0.0001741014821163,0.058402716168558
13992,48439123500,48,439,123500,2220.0,2565.0,86.55,,,,0.0002316577415513,0.0774180715744375
13993,48439123600,48,439,123600,2290.0,2440.0,93.85,,,,0.0002406373048415,0.107361765067553
13994,48439123000,48,439,123000,3085.0,6445.0,47.87,,,,0.0005631112157971,0.113956128466855
13995,48439113634,48,439,113634,535.0,5020.0,10.66,,,,0.0006128685404291,0.10897994205831
13996,48439114203,48,439,114203,1820.0,5360.0,33.96,,,,0.0033439905007526,0.282044877523134
13997,48439114204,48,439,114204,1810.0,5505.0,32.88,,,,0.0012457818691018,0.17096417926187
13998,48439121608,48,439,121608,1185.0,5000.0,23.7,,,,0.0002835367038187,0.0701365424033634
13999,48439113926,48,439,113926,2145.0,9660.0,22.2,,,,0.0042177837165127,0.331286567534406
14000,48439105008,48,439,105008,2035.0,6030.0,33.75,,,,0.0004997159271624,0.11221938272439
14001,48439114008,48,439,114008,3425.0,9340.0,36.67,,,,0.0014731943713286,0.276220803262929
14006,48439113632,48,439,113632,425.0,5100.0,8.33,,,,0.0004811046721897,0.0980599934800782
14007,48439113928,48,439,113928,1170.0,6615.0,17.69,,,,0.0008151047939009,0.128156995151788
14008,48439110907,48,439,110907,810.0,2805.0,28.88,,,,0.0002774447041247,0.106477451207981
14009,48439111012,48,439,111012,2175.0,7725.0,28.16,,,,0.0003176633331349,0.0729219193544507
14010,48439102301,48,439,102301,1940.0,3130.0,61.98,,,,0.0004073867041825,0.0909700596073957
14011,48439121609,48,439,121609,285.0,6040.0,4.72,,,,0.0006260563534397,0.145983488345888
14012,48439121610,48,439,121610,720.0,2310.0,31.17,,,,0.0001244069019321,0.0490675358294299
14013,48439121611,48,439,121611,1095.0,4530.0,24.17,,,,0.0002887425391691,0.0821563147912698
14016,48439101403,48,439,101403,2985.0,4295.0,69.5,,,,0.0002718865580391,0.0685822755539479
14031,48439106300,48,439,106300,1975.0,2925.0,67.52,,,,0.000247840347356,0.0717167725443083
14032,48439113408,48,439,113408,2615.0,5055.0,51.73,,,,0.000354899335889,0.0765840771964657
